show_id,date_added,release_year
s1,14-Aug-20,2020
s2,23-Dec-16,2016
s3,20-Dec-18,2011
s4,16-Nov-17,2009
s5,1-Jan-20,2008
s6,1-Jul-17,2016
s7,1-Jun-20,2019
s8,1-Nov-19,1997
s9,1-Apr-19,2019
s10,15-Dec-17,2008
s11,20-Oct-17,2017
s12,30-Nov-18,2018
s13,17-May-19,2019
s14,1-Mar-19,2018
s15,19-Mar-20,2019
s16,1-Sep-19,2014
s17,20-Mar-19,2018
s18,10-Oct-18,2018
s19,29-Mar-19,2019
s20,16-May-18,2017
s21,1-Sep-18,2018
s22,15-Sep-18,2018
s23,15-Sep-18,2017
s24,15-Sep-18,2017
s25,23-Jan-20,2020
s26,30-Jun-16,2015
s27,12-Aug-20,2020
s28,8-Sep-20,2020
s29,1-Jul-20,2019
s30,17-Apr-20,2020
s31,5-Feb-20,2020
s32,21-May-20,2018
s33,28-Jun-20,2020
s34,8-Sep-17,2017
s35,10-Apr-19,2018
s36,1-Dec-16,2016
s37,1-Jun-19,2014
s38,1-Jun-19,2016
s39,30-Mar-19,2016
s40,19-Jul-19,2019
s41,10-Mar-17,2015
s42,27-Mar-18,2017
s43,10-Mar-17,2010
s44,2-Oct-20,2020
s45,1-Feb-18,2005
s46,17-Jan-17,2013
s47,1-Jul-17,2014
s48,7-Jul-17,2017
s49,18-Oct-19,2017
s50,1-Jul-17,2012
s51,1-Jun-19,2008
s52,7-Dec-20,2018
s53,6-Jul-18,2018
s54,13-Mar-20,2020
s55,10-Mar-17,2016
s56,2-Nov-19,2014
s57,20-Mar-18,2016
s58,7-Jan-21,2020
s59,1-Nov-19,2017
s60,1-Dec-16,2014
s61,14-Mar-19,2017
s62,22-May-17,2014
s63,13-Aug-16,2015
s64,5-Jun-20,2020
s65,23-Aug-19,2019
s66,13-Jan-19,2014
s67,7-Oct-16,2016
s68,26-Jan-17,2017
s69,3-Apr-19,2010
s70,27-Oct-18,2018
s71,1-Feb-19,2016
s72,1-Nov-19,2006
s73,1-Jan-21,2009
s74,8-May-20,2020
s75,2-Jun-17,2016
s76,23-Aug-20,2019
s77,26-Jul-19,2018
s78,1-Jun-20,2008
s79,4-Aug-18,2014
s80,22-Sep-18,2013
s81,15-Aug-17,2013
s82,28-Apr-17,2015
s83,20-Dec-18,2018
s84,28-Jun-19,2016
s85,16-Apr-19,2013
s86,1-Jul-20,2019
s87,1-Dec-18,2018
s88,1-Mar-18,2017
s89,1-Mar-18,2016
s90,7-Apr-18,2017
s91,1-Oct-18,2016
s92,1-Oct-17,2012
s93,1-May-18,2018
s94,1-May-18,2017
s95,30-Sep-20,2000
s96,10-Jun-17,2016
