show_id,year_added,release_year
s1,2020,2020
s2,2016,2016
s3,2018,2011
s4,2017,2009
s5,2020,2008
s6,2017,2016
s7,2020,2019
s8,2019,1997
s9,2019,2019
s10,2017,2008
s11,2017,2017
s12,2018,2018
s13,2019,2019
s14,2019,2018
s15,2020,2019
s16,2019,2014
s17,2019,2018
s18,2018,2018
s19,2019,2019
s20,2018,2017
s21,2018,2018
s22,2018,2018
s23,2018,2017
s24,2018,2017
s25,2020,2020
s26,2016,2015
s27,2020,2020
s28,2020,2020
s29,2020,2019
s30,2020,2020
s31,2020,2020
s32,2020,2018
s33,2020,2020
s34,2017,2017
s35,2019,2018
s36,2016,2016
s37,2019,2014
s38,2019,2016
s39,2019,2016
s40,2019,2019
s41,2017,2015
s42,2018,2017
s43,2017,2010
s44,2020,2020
s45,2018,2005
s46,2017,2013
s47,2017,2014
s48,2017,2017
s49,2019,2017
s50,2017,2012
s51,2019,2008
s52,2020,2018
s53,2018,2018
s54,2020,2020
s55,2017,2016
s56,2019,2014
s57,2018,2016
s58,2021,2020
s59,2019,2017
s60,2016,2014
s61,2019,2017
s62,2017,2014
s63,2016,2015
s64,2020,2020
s65,2019,2019
s66,2019,2014
s67,2016,2016
s68,2017,2017
s69,2019,2010
s70,2018,2018
s71,2019,2016
s72,2019,2006
s73,2021,2009
s74,2020,2020
s75,2017,2016
s76,2020,2019
s77,2019,2018
s78,2020,2008
s79,2018,2014
s80,2018,2013
s81,2017,2013
s82,2017,2015
s83,2018,2018
s84,2019,2016
s85,2019,2013
s86,2020,2019
s87,2018,2018
s88,2018,2017
s89,2018,2016
s90,2018,2017
s91,2018,2016
s92,2017,2012
s93,2018,2018
s94,2018,2017
s95,2020,2000
s96,2017,2016
s97,2020,2014
s98,2019,2003
s99,2017,2015
s100,2019,2016
s101,2019,2009
s102,2019,2018
s103,2016,2015
s104,2019,2016
s105,2021,2011
s106,2019,1989
s107,2020,2020
s108,2020,2020
s109,2019,2019
s110,2020,2019
s111,2018,2017
s112,2020,2018
s113,2019,2019
s114,2017,2017
s115,2019,2019
s116,2016,2015
s117,2020,2019
s118,2019,2017
s119,2019,2014
s120,2018,2018
s121,2017,2014
s122,2020,2004
s123,2019,2011
s124,2018,2012
s125,2020,2019
s126,2018,2018
s127,2018,2017
s128,2019,2019
s129,2015,2015
s130,2017,2014
s131,2020,2019
s132,2019,2017
s133,2019,2019
s134,2016,2016
s135,2018,2018
s136,2019,2018
s137,2018,2011
s138,2016,2016
s139,2018,2018
s140,2017,2017
s141,2016,2016
s142,2020,2020
s143,2017,2016
s144,2019,2019
s145,2020,2016
s146,2017,2011
s147,2019,2019
s148,2020,2020
s149,2020,2017
s150,2018,2011
s151,2018,2016
s152,2018,2016
s153,2017,2017
s154,2020,1977
s155,2020,2020
s156,2020,2018
s157,2020,2016
s158,2020,2020
s159,2020,2018
s160,2017,2017
